plant,capacity_mw,Capacity_GW,status,longitude,latitude,type,links
Lahendong (Binary Cycle),20,0.02,existing,124.8392,1.3346,Geothermal,https://datasets.wri.org/dataset/globalpowerplantdatabase
Lahendong IV,80,0.08,existing,124.8225,1.2542,Geothermal,https://datasets.wri.org/dataset/globalpowerplantdatabase
Lamajan/saguling,19.56,0.01956,existing,107.6186,-6.9039,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Larona,165,0.165,existing,121.5783,-2.8194,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Lau Renun,82,0.082,existing,98.065,3.0824,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Lodoyo - Brantas,4.5,0.0045,existing,112.2173,-8.1613,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Maninjau III,123,0.123,existing,100.152,-0.2923,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Mendalan - Brantas,23,0.023,existing,112.3316,-7.854,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Musi,215.475,0.215475,existing,102.435,-3.766,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Ngebel - Pamekasan,2.2,0.0022,existing,111.6167,-7.7891,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
PB. Sudirman/Mrica,180.9,0.1809,existing,109.6054,-7.3927,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Pejengkolan/Mrica,1.4,0.0014,existing,109.8006,-7.5694,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Plengan/Saguling,6.87,0.00687,existing,107.6186,-6.9039,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Riam Kanan/pangeran Muhamad Nur,30,0.03,existing,115.0074,-3.5156,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Saguling,700.72,0.70072,existing,107.3663,-6.9126,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Sempor/Mrica,1,0.001,existing,109.3331,-7.4733,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Sengguruh - Brantas,29,0.029,existing,112.551,-8.1764,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Sidorejo/Mrica,1.4,0.0014,existing,110.2622,-7.4764,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Sigura gura (asahan II),286,0.286,existing,99.2793,2.5196,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Singkarak,175,0.175,existing,100.6034,-0.6909,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Sipansihaporas,50,0.05,existing,98.7792,1.7427,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Sutami / Karangkates - Brantas,105,0.105,existing,112.4443,-8.1606,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Tangga (asahan II),317,0.317,existing,99.3028,2.5479,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Timo / Mrica,12,0.012,existing,110.4069,-6.9485,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Tulungagung - Brantas,36,0.036,existing,111.9025,-8.0657,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Ubrug/saguling,18.36,0.01836,existing,107.6186,-6.9039,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Ulubelu 1 & 2,110,0.11,existing,104.5733,-5.3096,Geothermal,https://datasets.wri.org/dataset/globalpowerplantdatabase
Wayang Windu,227,0.227,existing,107.6258,-7.1966,Geothermal,https://datasets.wri.org/dataset/globalpowerplantdatabase
Wlingi - Brantas,54,0.054,existing,112.3311,-8.0776,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
Wonorejo - Pamekasan,6.3,0.0063,existing,112.2869,-8.1136,Hydro,https://datasets.wri.org/dataset/globalpowerplantdatabase
,,18.958092,,,,,
